NThreads,SequenceSize,Speedup,Efficiency,BestVersion,MeanTimeSequential
1,1,1.04422,1.04422,Base parallel,0.00330248
2,1,2.08203,1.04102,Base parallel,0.0031887
4,1,3.93696,0.984239,Parallel with explicit chunk and atomic,0.00319964
6,1,5.4252,0.9042,Base parallel,0.00321878
8,1,5.03645,0.629556,Base parallel,0.00406255
10,1,6.79427,0.679427,Base parallel,0.00437896
12,1,8.76784,0.730653,Base parallel,0.00505212
1,10,1.05195,1.05195,Parallel with explicit chunk and atomic,0.00817809
2,10,2.08566,1.04283,Parallel with explicit chunk declaration,0.00791959
4,10,4.138,1.0345,Parallel with explicit chunk and atomic,0.00793558
6,10,5.73355,0.955592,Parallel with explicit chunk and atomic,0.00814052
8,10,5.84518,0.730647,Parallel with explicit chunk and atomic,0.0104261
10,10,7.97527,0.797527,Parallel with explicit chunk and atomic,0.0117332
12,10,10.6159,0.884662,Base parallel,0.0132217
1,50,1.00655,1.00655,Parallel with explicit chunk and atomic,0.0401074
2,50,2.00811,1.00405,Parallel with explicit chunk and atomic,0.0398792
4,50,4.01908,1.00477,Parallel with explicit chunk and atomic,0.0400865
6,50,5.97965,0.996608,Parallel with explicit chunk and atomic,0.0400335
8,50,6.41916,0.802394,Base parallel,0.0452377
10,50,9.26185,0.926185,Parallel with explicit chunk and atomic,0.052772
12,50,11.315,0.942915,Base parallel,0.0572042
1,100,1.01847,1.01847,Base parallel,0.0913263
2,100,2.03079,1.0154,Base parallel,0.0917322
4,100,4.04663,1.01166,Parallel with explicit chunk declaration,0.0910687
6,100,5.97179,0.995299,Parallel with explicit chunk declaration,0.0912594
8,100,7.03793,0.879741,Base parallel,0.099156
10,100,9.65654,0.965654,Base parallel,0.109883
12,100,11.854,0.987831,Parallel with explicit chunk and atomic,0.11571
1,500,1.00221,1.00221,Parallel with explicit chunk and atomic,0.551794
2,500,2.00389,1.00195,Parallel with explicit chunk and atomic,0.551905
4,500,4.00054,1.00013,Parallel with explicit chunk and atomic,0.551713
6,500,5.99064,0.99844,Parallel with explicit chunk and atomic,0.55175
8,500,7.7282,0.966025,Parallel with explicit chunk and atomic,0.556713
10,500,9.64497,0.964497,Parallel with explicit chunk and atomic,0.560971
12,500,11.4806,0.956716,Parallel with explicit chunk declaration,0.563616
1,1000,1.00095,1.00095,Parallel with explicit chunk and atomic,1.12071
2,1000,2.00091,1.00045,Parallel with explicit chunk and atomic,1.1205
4,1000,3.9987,0.999676,Parallel with explicit chunk and atomic,1.12072
6,1000,5.98423,0.997372,Parallel with explicit chunk and atomic,1.12067
8,1000,7.85023,0.981279,Parallel with explicit chunk and atomic,1.1238
10,1000,9.79557,0.979557,Parallel with explicit chunk and atomic,1.12677
12,1000,11.6076,0.967302,Parallel with explicit chunk declaration,1.12882
